time [s],A_XX,A_YY,A_ZZ,E_XX,E_YY,E_ZZ,EPL,Sigma_XX,Sigma_Yield,Sigma_YY,Sigma_ZZ,SigmaVM
2.700000000000001,0.0,0.0,0.0,0.0018196022726393668,-0.0006065340908341931,1.1211116714264198e-15,0.0,213.49999999177993,299.99999999999983,6.046791253399581e-09,53.37499999957994,192.4462993158349
2.800000000000001,0.0,0.0,0.0,0.002079680525023506,-0.0006931667998415893,1.1617486545157595e-15,0.0,244.0184901101417,299.99999999999983,0.007925521962469824,61.00660390815375,219.94924969946288
2.9000000000000012,0.0,0.0,0.0,0.002339691154296821,-0.0007798070147255708,1.0100893689684146e-15,0.0,274.5277237193087,299.99999999999983,0.011884845300619748,68.63490214126335,247.44688144415082
3.0000000000000013,0.0,0.0,0.0,0.0025996341956160828,-0.0008664547367870131,8.475414366203928e-16,0.0,305.027705402751,299.99999999999983,0.011879351233441544,76.25989618858925,274.9391975930008
3.1000000000000014,0.0,0.0,0.0,0.0023394886364554155,-0.0007798295449152272,8.881784197000833e-16,0.0,274.5000000359274,299.99999999999983,7.525404972339832e-08,68.62500002789301,247.4309562536764
3.2000000000000015,0.0,0.0,0.0,0.002079275383971634,-0.0006932118563179376,8.88178419708486e-16,0.0,243.9630290063453,299.99999999999983,-0.015848139203488237,60.98679521688308,219.91739030987137
3.3000000000000016,0.0,0.0,0.0,0.001819602272529633,-0.0006065340907422585,9.288154027880127e-16,0.0,213.49999998132785,299.99999999999983,1.3337223365909042e-08,53.3749999987684,192.4462993008588
3.4000000000000017,0.0,0.0,0.0,0.0015598617134482654,-0.0005198638375511171,9.28815402802052e-16,0.0,183.02773732298868,299.99999999999983,0.011888834983955494,45.75990653959529,164.96990527011894
3.5000000000000018,0.0,0.0,0.0,0.0012997159090308876,-0.0004332386363121039,1.4948155619018676e-15,0.0,152.49999999445177,299.99999999999983,4.198723892005366e-09,38.12499999982701,137.46164236881543
3.600000000000002,0.0,0.0,0.0,0.0010397727272345864,-0.0003465909090577811,1.4948155619017876e-15,0.0,121.99999999652006,299.99999999999983,2.723092166834408e-09,30.499999999975195,109.9693138963924
3.700000000000002,0.0,0.0,0.0,0.0007797619574109834,-0.0002599506889821311,1.4948155619018335e-15,0.0,91.49074806312778,299.99999999999983,-0.00396481952271629,22.871695811065653,82.47166988346889
3.800000000000002,0.0,0.0,0.0,0.0005198863636157178,-0.00017329545452681046,1.4948155619019252e-15,0.0,60.99999999817817,299.99999999999983,1.5820803628570055e-09,15.250000000104452,54.98465694793143
3.900000000000002,0.0,0.0,0.0,0.0002599432169399838,-8.664772855069093e-05,1.3431562763515968e-15,0.0,30.500004579919967,299.99999999999983,1.3766925798945836e-06,7.625001489300843,27.492331553635022
4.0,0.0,0.0,0.0,-8.208770502316549e-16,2.373148882303336e-15,1.1935373932045273e-15,0.0,6.157123179192697e-11,299.99999999999983,3.0035472727870677e-10,2.215083501127187e-10,2.0317873340702542e-10
